username,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,93100
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,23200
libgdx,libgdx,https://github.com/libgdx/libgdx,21700
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,21000
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,17400
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,15700
aframevr,aframe,https://github.com/aframevr/aframe,15500
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,14400
CesiumGS,cesium,https://github.com/CesiumGS/cesium,10700
metafizzy,zdog,https://github.com/metafizzy/zdog,9900
isl-org,Open3D,https://github.com/isl-org/Open3D,9100
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9000
blender,blender,https://github.com/blender/blender,8900
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7400
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,6500
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,6300
google,model-viewer,https://github.com/google/model-viewer,5700
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,5700
openscad,openscad,https://github.com/openscad/openscad,5700
spritejs,spritejs,https://github.com/spritejs/spritejs,5200
